iter	MultiClass
0	1.371218151
1	1.363532448
2	1.346960998
3	1.333937128
4	1.322274384
5	1.315042945
6	1.305554061
7	1.296682215
8	1.287378562
9	1.279876856
10	1.271040084
11	1.26149073
12	1.253352183
13	1.247394672
14	1.24109088
15	1.233081963
16	1.228314546
17	1.221954366
18	1.217294498
19	1.211722487
20	1.207194209
21	1.202068483
22	1.196971171
23	1.191814851
24	1.187850202
25	1.183047224
26	1.178293012
27	1.174407991
28	1.170613618
29	1.166992266
30	1.164042872
31	1.16108601
32	1.157019295
33	1.153263737
34	1.149419517
35	1.14622089
36	1.142347328
37	1.137878682
38	1.135825719
39	1.133173952
40	1.129839672
41	1.12778537
42	1.125622704
43	1.123740739
44	1.121386511
45	1.118207998
46	1.115296618
47	1.113025719
48	1.109566883
49	1.107314056
50	1.105092959
51	1.103720061
52	1.101718296
53	1.099285161
54	1.097405389
55	1.094385856
56	1.093050797
57	1.090189294
58	1.087880586
59	1.086191359
60	1.084428536
61	1.082557131
62	1.081212617
63	1.078447975
64	1.077569492
65	1.075464185
66	1.074790371
67	1.073210364
68	1.07227502
69	1.071095282
70	1.069728732
71	1.068125231
72	1.066642975
73	1.065376732
74	1.064245855
75	1.063250667
76	1.061474645
77	1.061103675
78	1.059768356
79	1.058522691
80	1.057386777
81	1.056494757
82	1.055104064
83	1.053384118
84	1.051863332
85	1.050783632
86	1.048464951
87	1.047133356
88	1.045567795
89	1.045187752
90	1.044298938
91	1.043060126
92	1.042233949
93	1.04093496
94	1.039675028
95	1.038116212
96	1.037165198
97	1.036397879
98	1.034714085
99	1.033832459
100	1.032953605
101	1.032654854
102	1.03170687
103	1.031356155
104	1.030391631
105	1.029805783
106	1.028374049
107	1.027595093
108	1.026666671
109	1.02561006
110	1.024703345
111	1.024481978
112	1.02394059
113	1.022707032
114	1.022076122
115	1.020980552
116	1.019980612
117	1.019374805
118	1.018931501
119	1.018053241
120	1.017584179
121	1.015779571
122	1.015097545
123	1.014319982
