iter	Passed	Remaining
0	11	1455
1	22	1367
2	31	1282
3	41	1246
4	51	1226
5	61	1205
6	70	1177
7	80	1169
8	91	1170
9	100	1148
10	111	1142
11	121	1129
12	131	1118
13	139	1098
14	150	1095
15	160	1082
16	169	1068
17	180	1060
18	189	1047
19	199	1039
20	210	1033
21	222	1031
22	231	1018
23	241	1006
24	252	998
25	261	986
26	272	978
27	282	968
28	292	959
29	302	948
30	312	936
31	322	925
32	332	915
33	343	908
34	352	897
35	362	884
36	371	874
37	383	867
38	393	857
39	402	845
40	413	837
41	423	826
42	434	817
43	443	806
44	453	795
45	463	785
46	473	776
47	484	767
48	495	758
49	505	748
50	515	737
51	525	727
52	535	717
53	546	708
54	557	699
55	567	689
56	577	679
57	588	669
58	600	661
59	611	651
60	621	642
61	632	632
62	643	623
63	655	614
64	665	604
65	675	593
66	685	583
67	697	574
68	706	563
69	716	552
70	725	541
71	736	531
72	745	520
73	755	510
74	764	499
75	773	488
76	784	478
77	793	467
78	803	457
79	812	447
80	822	436
81	831	425
82	841	415
83	852	405
84	862	395
85	873	385
86	882	375
87	893	365
88	903	355
89	911	344
90	921	334
91	932	324
92	942	314
93	953	304
94	964	294
95	974	284
96	985	274
97	996	264
98	1007	254
99	1017	244
100	1027	234
101	1037	223
102	1047	213
103	1056	203
104	1066	192
105	1075	182
106	1086	172
107	1096	162
108	1108	152
109	1118	142
110	1127	132
111	1136	121
112	1146	111
113	1157	101
114	1167	91
115	1177	81
116	1186	71
117	1197	60
118	1206	50
119	1216	40
120	1225	30
121	1236	20
122	1246	10
123	1256	0
